"rules","support","confidence","coverage","lift","count"
"160","{ChildBks,CookBks,DoItYBks,GeogBks} => {ArtBks}",0.0535,0.601123595505618,0.089,2.49428877803161,107
"161","{ChildBks,YouthBks,DoItYBks,RefBks,ArtBks} => {CookBks}",0.021,0.792452830188679,0.0265,1.8386376570503,42
"162","{YouthBks,CookBks,DoItYBks,RefBks,ArtBks} => {ChildBks}",0.021,0.857142857142857,0.0245,2.02634245187437,42
"163","{ChildBks,YouthBks,CookBks,RefBks,ArtBks} => {DoItYBks}",0.021,0.617647058823529,0.034,2.19023779724656,42
"164","{ChildBks,CookBks,DoItYBks,RefBks,ArtBks} => {YouthBks}",0.021,0.567567567567568,0.037,2.29320229320229,42
"165","{ChildBks,YouthBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.0225,0.833333333333333,0.027,1.93348801237432,45
"166","{YouthBks,CookBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.0225,0.882352941176471,0.0255,2.08594075928244,45
"167","{ChildBks,YouthBks,CookBks,RefBks,ArtBks} => {GeogBks}",0.0225,0.661764705882353,0.034,2.39769820971867,45
"168","{ChildBks,YouthBks,CookBks,RefBks,GeogBks} => {ArtBks}",0.0225,0.511363636363636,0.044,2.12184081478687,45
"169","{ChildBks,CookBks,RefBks,ArtBks,GeogBks} => {YouthBks}",0.0225,0.555555555555556,0.0405,2.24466891133558,45
"170","{ChildBks,YouthBks,DoItYBks,RefBks,GeogBks} => {CookBks}",0.027,0.9,0.03,2.08816705336427,54
"171","{YouthBks,CookBks,DoItYBks,RefBks,GeogBks} => {ChildBks}",0.027,0.931034482758621,0.029,2.20102714600147,54
"172","{ChildBks,YouthBks,CookBks,DoItYBks,RefBks} => {GeogBks}",0.027,0.613636363636364,0.044,2.22332015810277,54
"173","{ChildBks,YouthBks,CookBks,RefBks,GeogBks} => {DoItYBks}",0.027,0.613636363636364,0.044,2.17601547388781,54
"174","{ChildBks,CookBks,DoItYBks,RefBks,GeogBks} => {YouthBks}",0.027,0.6,0.045,2.42424242424242,54
"175","{ChildBks,YouthBks,CookBks,DoItYBks,GeogBks} => {RefBks}",0.027,0.529411764705882,0.051,2.46812011517894,54
"176","{ChildBks,DoItYBks,RefBks,ArtBks,GeogBks} => {CookBks}",0.024,0.872727272727273,0.0275,2.02488926386838,48
"177","{CookBks,DoItYBks,RefBks,ArtBks,GeogBks} => {ChildBks}",0.024,0.872727272727273,0.0275,2.06318504190845,48
"178","{ChildBks,CookBks,DoItYBks,RefBks,ArtBks} => {GeogBks}",0.024,0.648648648648649,0.037,2.35017626321974,48
"179","{ChildBks,CookBks,RefBks,ArtBks,GeogBks} => {DoItYBks}",0.024,0.592592592592593,0.0405,2.10139217231416,48
"180","{ChildBks,CookBks,DoItYBks,RefBks,GeogBks} => {ArtBks}",0.024,0.533333333333333,0.045,2.21300138312586,48
"181","{ChildBks,YouthBks,DoItYBks,ArtBks,GeogBks} => {CookBks}",0.031,0.925373134328358,0.0335,2.14703743463656,62
"182","{YouthBks,CookBks,DoItYBks,ArtBks,GeogBks} => {ChildBks}",0.031,0.837837837837838,0.037,1.98070410836368,62
"183","{ChildBks,YouthBks,CookBks,DoItYBks,ArtBks} => {GeogBks}",0.031,0.696629213483146,0.0445,2.52401888943169,62
"184","{ChildBks,YouthBks,CookBks,ArtBks,GeogBks} => {DoItYBks}",0.031,0.666666666666667,0.0465,2.36406619385343,62
"185","{ChildBks,YouthBks,CookBks,DoItYBks,GeogBks} => {ArtBks}",0.031,0.607843137254902,0.051,2.52217069400374,62
"186","{ChildBks,CookBks,DoItYBks,ArtBks,GeogBks} => {YouthBks}",0.031,0.579439252336449,0.0535,2.34116869630888,62
